contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Highlight,Std Deviation
SPY240731P00320000,2024-07-30 15:20:32+00:00,320.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00320000,2024-07-30 14:00:29+00:00,320.0,226.28,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00325000,2024-07-22 13:31:09+00:00,325.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00325000,2024-04-25 15:52:58+00:00,325.0,177.87,205.82,206.73,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00330000,2024-07-12 19:35:09+00:00,330.0,0.01,0.0,0.0,0.0,0.0,180.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00330000,2024-07-05 17:01:23+00:00,330.0,224.77,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731C00335000,2024-06-28 13:52:00+00:00,335.0,214.66,209.37,209.85,0.0,0.0,1.0,3,5.59961237548828,True,REGULAR,USD,,
SPY240731P00335000,2024-07-17 13:58:26+00:00,335.0,0.01,0.0,0.0,0.0,0.0,13.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00340000,2024-04-25 15:52:50+00:00,340.0,163.12,191.01,191.89,0.0,0.0,,6,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00340000,2024-07-24 15:09:53+00:00,340.0,0.01,0.0,0.0,0.0,0.0,10.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00345000,2024-05-09 15:14:46+00:00,345.0,177.1,189.53,190.23,0.0,0.0,2.0,4,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00345000,2024-07-19 19:53:52+00:00,345.0,0.01,0.0,0.0,0.0,0.0,40.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00350000,2024-04-30 14:59:56+00:00,350.0,162.25,175.88,176.65,0.0,0.0,2.0,8,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00350000,2024-07-30 14:04:47+00:00,350.0,0.01,0.0,0.0,0.0,0.0,40.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00355000,2024-04-25 13:56:51+00:00,355.0,147.21,176.21,177.07,0.0,0.0,4.0,6,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00355000,2024-07-18 13:35:18+00:00,355.0,0.01,0.0,0.0,0.0,0.0,210.0,0,1.000005,False,REGULAR,USD,,
SPY240731P00360000,2024-07-29 19:42:47+00:00,360.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00360000,2024-04-25 15:52:19+00:00,360.0,143.89,171.28,172.13,0.0,0.0,2.0,5,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731C00365000,2024-06-21 14:02:06+00:00,365.0,181.7,183.92,184.3,0.0,0.0,4.0,8,6.05566649291992,True,REGULAR,USD,,
SPY240731P00365000,2024-07-15 17:08:25+00:00,365.0,0.02,0.0,0.0,0.0,0.0,20.0,0,0.500005,False,REGULAR,USD,,
SPY240731P00370000,2024-07-16 15:13:05+00:00,370.0,0.01,0.0,0.0,0.0,0.0,13.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00370000,2024-06-20 13:32:15+00:00,370.0,179.81,178.93,179.31,0.0,0.0,6.0,7,5.895022162475587,True,REGULAR,USD,,
SPY240731P00375000,2024-07-15 19:46:19+00:00,375.0,0.01,0.0,0.0,0.0,0.0,110.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00375000,2024-04-25 13:55:54+00:00,375.0,127.86,156.49,157.32,0.0,0.0,4.0,7,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731C00380000,2024-06-20 14:24:39+00:00,380.0,169.99,168.95,169.33,0.0,0.0,5.0,4,5.578616307983398,True,REGULAR,USD,,
SPY240731P00380000,2024-07-24 18:03:25+00:00,380.0,0.01,0.0,0.0,0.0,0.0,10.0,0,0.500005,False,REGULAR,USD,,
SPY240731P00385000,2024-07-30 20:13:56+00:00,385.0,0.01,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00385000,2024-04-23 17:09:27+00:00,385.0,125.48,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731C00390000,2024-04-24 14:58:20+00:00,390.0,120.3,140.82,141.64,0.0,0.0,2.0,4,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00390000,2024-07-25 13:56:51+00:00,390.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00395000,2024-07-25 16:10:02+00:00,395.0,149.45,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00395000,2024-07-25 13:31:27+00:00,395.0,0.01,0.0,0.0,0.0,0.0,1.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00400000,2024-07-29 18:31:39+00:00,400.0,144.79,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00400000,2024-07-25 15:15:28+00:00,400.0,0.01,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD,,
SPY240731P00405000,2024-07-24 15:56:57+00:00,405.0,0.01,0.0,0.0,0.0,0.0,7.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00405000,2024-06-21 14:25:19+00:00,405.0,142.06,144.01,144.38,0.0,0.0,2.0,6,4.812992265014647,True,REGULAR,USD,,
SPY240731C00410000,2024-07-29 13:42:08+00:00,410.0,135.9,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00410000,2024-07-25 17:41:19+00:00,410.0,0.01,0.0,0.0,0.0,0.0,22.0,0,0.500005,False,REGULAR,USD,,
SPY240731P00415000,2024-07-26 14:45:16+00:00,415.0,0.01,0.0,0.0,0.0,0.0,2.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00415000,2024-07-30 13:36:12+00:00,415.0,131.57,0.0,0.0,0.0,0.0,44.0,0,1.0000000000000003e-05,True,REGULAR,USD,,
SPY240731P00420000,2024-07-26 17:38:36+00:00,420.0,0.01,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD,,
SPY240731C00420000,2024-05-31 16:00:13+00:00,420.0,102.09,126.94,127.63,0.0,0.0,7.0,15,3.979492238769531,True,REGULAR,USD,,
