contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Type
SPY240816C00200000,2024-07-29 20:05:49+00:00,200.0,345.39,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00205000,2024-07-19 19:14:39+00:00,205.0,346.04,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00210000,2024-07-19 16:42:23+00:00,210.0,340.79,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00215000,2024-07-24 18:00:40+00:00,215.0,329.81,0.0,0.0,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00220000,2024-07-30 18:07:52+00:00,220.0,322.34,0.0,0.0,0.0,0.0,41.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00225000,2024-07-30 19:50:26+00:00,225.0,319.02,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00230000,2024-04-22 13:34:20+00:00,230.0,270.21,302.39,303.36,0.0,0.0,2.0,3,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00235000,2024-07-30 19:50:26+00:00,235.0,309.05,0.0,0.0,0.0,0.0,126.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00240000,2024-05-31 20:05:18+00:00,240.0,289.1,306.6,307.55,0.0,0.0,10.0,88,2.4621620477294917,True,REGULAR,USD,Call
SPY240816C00245000,2024-04-24 19:26:36+00:00,245.0,263.97,285.67,286.67,0.0,0.0,2.0,3,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00250000,2024-06-12 19:35:57+00:00,250.0,292.25,310.86,311.74,0.0,0.0,2.0,6,3.394044483642578,True,REGULAR,USD,Call
SPY240816C00255000,2024-07-12 14:53:23+00:00,255.0,307.74,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00260000,2024-04-01 13:49:00+00:00,260.0,268.26,243.2,243.98,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00265000,2024-04-26 16:37:46+00:00,265.0,247.19,265.96,266.92,0.0,0.0,2.0,3,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00270000,2024-07-16 16:39:59+00:00,270.0,294.32,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00275000,2024-04-30 14:27:21+00:00,275.0,237.0,250.87,251.71,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00280000,2024-07-17 16:28:43+00:00,280.0,279.01,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00285000,2024-04-24 19:28:20+00:00,285.0,224.73,246.26,247.19,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00290000,2024-06-13 17:02:02+00:00,290.0,252.53,271.11,271.91,0.0,0.0,2.0,1,2.8714627822875975,True,REGULAR,USD,Call
SPY240816C00295000,2024-05-03 18:52:50+00:00,295.0,220.08,234.24,235.12,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00300000,2024-07-29 17:49:23+00:00,300.0,246.58,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00305000,2024-07-18 13:43:16+00:00,305.0,254.92,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00310000,2024-05-06 14:53:11+00:00,310.0,207.97,226.09,226.88,0.0,0.0,2.0,4,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00315000,2024-06-05 17:21:19+00:00,315.0,219.5,241.19,242.0,0.0,0.0,4.0,4,2.3322795599365227,True,REGULAR,USD,Call
SPY240816C00320000,2024-07-01 16:35:28+00:00,320.0,227.44,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00325000,2024-06-24 19:03:13+00:00,325.0,222.75,218.08,219.0,0.0,0.0,7.0,46,1.2946812609863279,True,REGULAR,USD,Call
SPY240816C00330000,2024-05-06 14:52:54+00:00,330.0,188.32,206.37,207.13,0.0,0.0,2.0,77,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00335000,2024-07-17 18:15:11+00:00,335.0,224.22,0.0,0.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00340000,2024-06-18 13:44:00+00:00,340.0,209.67,218.8,219.64,0.0,0.0,1.0,4,2.198307726898193,True,REGULAR,USD,Call
SPY240816C00345000,2024-06-11 16:41:35+00:00,345.0,191.35,213.53,214.15,0.0,0.0,2.0,79,2.1303147328186034,True,REGULAR,USD,Call
SPY240816C00350000,2024-07-30 17:26:12+00:00,350.0,191.4,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00355000,2024-07-29 19:56:24+00:00,355.0,191.03,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00360000,2024-07-29 17:36:08+00:00,360.0,186.73,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00365000,2024-07-11 16:36:14+00:00,365.0,194.88,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00370000,2024-07-18 19:59:20+00:00,370.0,184.65,0.0,0.0,0.0,0.0,16.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00375000,2024-07-18 19:13:23+00:00,375.0,177.63,0.0,0.0,0.0,0.0,20.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00380000,2024-07-18 19:56:47+00:00,380.0,174.91,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00385000,2024-07-11 16:36:14+00:00,385.0,175.03,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00390000,2024-07-18 14:58:57+00:00,390.0,168.99,0.0,0.0,0.0,0.0,17.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00395000,2024-07-25 19:57:52+00:00,395.0,145.67,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00400000,2024-07-26 13:42:33+00:00,400.0,143.62,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00405000,2024-06-25 18:56:39+00:00,405.0,143.21,135.22,135.69,0.0,0.0,1.0,16,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00410000,2024-07-25 13:36:02+00:00,410.0,132.34,0.0,0.0,0.0,0.0,50.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00415000,2024-07-30 17:12:52+00:00,415.0,126.08,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00420000,2024-07-30 15:21:57+00:00,420.0,123.94,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00425000,2024-07-26 14:49:33+00:00,425.0,119.43,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00430000,2024-07-30 15:33:14+00:00,430.0,113.31,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00435000,2024-07-30 20:01:49+00:00,435.0,106.02,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00440000,2024-07-30 20:10:34+00:00,440.0,100.5,0.0,0.0,0.0,0.0,38.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00445000,2024-07-30 20:00:37+00:00,445.0,98.15,0.0,0.0,0.0,0.0,35.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00450000,2024-07-30 15:19:31+00:00,450.0,93.85,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00455000,2024-07-30 16:33:42+00:00,455.0,87.18,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00458000,2024-07-26 18:06:17+00:00,458.0,88.63,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00460000,2024-07-30 19:37:00+00:00,460.0,83.4,0.0,0.0,0.0,0.0,16.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00463000,2024-07-26 14:03:45+00:00,463.0,82.7,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00465000,2024-07-30 13:55:03+00:00,465.0,82.69,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00470000,2024-07-30 17:00:39+00:00,470.0,70.71,0.0,0.0,0.0,0.0,22.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00471000,2024-07-26 15:45:46+00:00,471.0,75.03,0.0,0.0,0.0,0.0,50.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00472000,2024-07-24 15:21:04+00:00,472.0,74.98,0.0,0.0,0.0,0.0,142.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
SPY240816C00473000,2024-07-24 18:21:08+00:00,473.0,72.8,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,Call
