Calls,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
SPY240729C00460000,7/26/2024 20:05,460,84.27,0,0,0,0.00%,11,12,0.00%
SPY240729C00465000,7/26/2024 15:46,465,79.17,0,0,0,0.00%,5,7,0.00%
SPY240729C00475000,7/26/2024 15:46,475,69.06,0,0,0,0.00%,3,3,0.00%
SPY240729C00479000,7/26/2024 15:46,479,65.08,0,0,0,0.00%,3,3,0.00%
SPY240729C00480000,7/25/2024 13:37,480,61.35,0,0,0,0.00%,1,2,0.00%
SPY240729C00484000,7/26/2024 18:53,484,59.91,0,0,0,0.00%,105,105,0.00%
SPY240729C00485000,7/26/2024 18:53,485,58.85,0,0,0,0.00%,275,275,0.00%
SPY240729C00490000,7/19/2024 13:58,490,64.02,0,0,0,0.00%,2,2,0.00%
SPY240729C00495000,7/26/2024 14:32,495,47.47,0,0,0,0.00%,30,16,0.00%
SPY240729C00496000,7/26/2024 17:35,496,49.81,0,0,0,0.00%,2,2,0.00%
SPY240729C00497000,7/23/2024 15:16,497,60,0,0,0,0.00%,-,1,0.00%
SPY240729C00498000,7/26/2024 19:58,498,45.95,0,0,0,0.00%,113,113,0.00%
SPY240729C00499000,7/26/2024 13:59,499,43.92,0,0,0,0.00%,3,3,0.00%
SPY240729C00500000,7/26/2024 19:37,500,43.4,0,0,0,0.00%,28,28,0.00%
SPY240729C00505000,7/26/2024 13:42,505,37.22,0,0,0,0.00%,2,2,0.00%
SPY240729C00510000,7/25/2024 17:05,510,36.87,0,0,0,0.00%,2,4,0.00%
SPY240729C00515000,7/25/2024 18:09,515,28.98,0,0,0,0.00%,1,1,0.00%
SPY240729C00520000,7/26/2024 19:59,520,23.99,0,0,0,0.00%,10,13,0.00%
SPY240729C00523000,7/26/2024 13:59,523,19.85,0,0,0,0.00%,1,1,0.00%
SPY240729C00524000,7/26/2024 14:01,524,19.73,0,0,0,0.00%,20,0,0.00%
SPY240729C00525000,7/26/2024 17:46,525,20.08,0,0,0,0.00%,29,15,0.00%
SPY240729C00526000,7/25/2024 14:34,526,15.4,0,0,0,0.00%,2,0,0.00%
SPY240729C00527000,7/26/2024 18:25,527,17.97,0,0,0,0.00%,4,2,0.00%
SPY240729C00528000,7/26/2024 16:00,528,17.2,0,0,0,0.00%,15,7,0.00%
SPY240729C00529000,7/26/2024 13:30,529,13.56,0,0,0,0.00%,5,15,0.00%
SPY240729C00530000,7/26/2024 19:37,530,13.5,0,0,0,0.00%,78,56,0.00%
SPY240729C00531000,7/26/2024 20:00,531,13.38,0,0,0,0.00%,7,25,0.00%
SPY240729C00532000,7/26/2024 20:00,532,12.6,0,0,0,0.00%,59,51,0.00%
SPY240729C00533000,7/26/2024 19:55,533,10.2,0,0,0,0.00%,106,87,0.00%
SPY240729C00534000,7/26/2024 20:14,534,10.69,0,0,0,0.00%,278,220,0.00%
SPY240729C00535000,7/26/2024 19:51,535,9.16,0,0,0,0.00%,301,128,0.00%
SPY240729C00536000,7/26/2024 20:12,536,8.79,0,0,0,0.00%,73,115,0.00%
SPY240729C00537000,7/26/2024 20:07,537,7.81,0,0,0,0.00%,154,298,0.00%
SPY240729C00538000,7/26/2024 20:14,538,6.91,0,0,0,0.00%,530,"1,029",0.00%
SPY240729C00539000,7/26/2024 20:12,539,6.06,0,0,0,0.00%,"1,034",632,0.00%
SPY240729C00540000,7/26/2024 20:13,540,5.3,0,0,0,0.00%,"3,106","2,222",0.00%
SPY240729C00541000,7/26/2024 20:11,541,4.44,0,0,0,0.00%,"6,235","2,003",0.00%
SPY240729C00542000,7/26/2024 20:12,542,3.68,0,0,0,0.00%,"16,414","2,741",0.00%
SPY240729C00543000,7/26/2024 20:14,543,2.96,0,0,0,0.00%,"37,490","4,240",0.00%
SPY240729C00544000,7/26/2024 20:14,544,2.32,0,0,0,0.00%,"75,357","3,834",0.00%
SPY240729C00545000,7/26/2024 20:14,545,1.78,0,0,0,0.00%,"92,033","8,343",0.01%
SPY240729C00546000,7/26/2024 20:14,546,1.31,0,0,0,0.00%,"70,183","8,801",0.78%
SPY240729C00547000,7/26/2024 20:14,547,0.92,0,0,0,0.00%,"54,766","7,473",1.56%
SPY240729C00548000,7/26/2024 20:14,548,0.62,0,0,0,0.00%,"43,813","5,635",3.13%
SPY240729C00549000,7/26/2024 20:14,549,0.42,0,0,0,0.00%,"24,588","4,936",3.13%
